bike_id,vehicle_type_id,lat,lon,date,fill_color
pony_058fadd0c86a465d94e8971bccc79363,scooter,47.46586,-0.55805,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a44645272cf04bf09b6b69125ad36681,scooter,47.49262,-0.50183,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ca3bce5b216941839069cff0b3cf3e2a,scooter,47.45811,-0.5638,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_fa0d781777c841ea99e73133f0bc4a84,scooter,47.47067,-0.55173,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f224b49d19a5426d93fb9c7995df822f,scooter,47.47289,-0.57715,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b550bcbe8ead418ea46bcfbe5f6fb514,scooter,47.48918,-0.57474,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_190245367dfb4473b7c363bd930258eb,scooter,47.45237,-0.54231,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1a64ec221cc84e42b85c407ec4a26bda,scooter,47.47717,-0.59925,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_73796d8e1b1a4f3fa476d14cef914a97,scooter,47.51038,-0.59445,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_728cf4e62a384130a838c1c40621d3e8,scooter,47.46764,-0.52515,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f316f5e9feed47eeac92f83cf56fad7a,scooter,47.46144,-0.5324,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ae6feda923034383b3d895448ca65232,scooter,47.48839,-0.54263,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_d3fb3746672846f6b3a17399c2819907,scooter,47.45885,-0.53167,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1bef79d185f042e6af545705a378a5ea,scooter,47.46797,-0.5271,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1c150035a32a404f97422467d9bac87b,scooter,47.47897,-0.56415,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_22bb64fb5e4047139efaa5fd30a644be,scooter,47.4792,-0.56446,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f9b8b49390264f2a80e1c82beef2db36,scooter,47.46509,-0.55675,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_555452fb02524a4fb4d0f20f571c3011,scooter,47.46002,-0.52421,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ccf1686438764f958d27b7bd0e1cf5a4,scooter,47.46481,-0.55721,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_b5166347467a448684290f51feb65e06,scooter,47.46986,-0.54753,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_0a4d3490e62740cd9a8e13a73df6df35,scooter,47.46976,-0.54765,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e47dd6d78ce6415ebffeb6d896744d63,scooter,47.46491,-0.54054,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_75da4819c68c4736acdac544f1d82391,scooter,47.46482,-0.55727,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ace3dca898ea4c228c9c14b40e5bd0c1,scooter,47.4522,-0.55877,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_bbb83c8553a743ad9a926baa6a0781f5,scooter,47.45237,-0.55412,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2c11000ba0464d0c91aeadd90a9d1602,scooter,47.48627,-0.55565,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_813ae37602be435eb6b43caa83f34370,scooter,47.45524,-0.54444,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4c8c742d06734fef98160eae527a247f,scooter,47.44881,-0.53882,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_677c0de9c3f34d93b293e4189c2e9b88,scooter,47.47671,-0.5981,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8a3c7355a97a47278039f71761f2d798,scooter,47.47662,-0.56707,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_d4e9f2ffa07742988fe4b97b92cc2b07,scooter,47.46479,-0.55711,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_5c0bef7e0e8846ae99fdf9b39ad85241,scooter,47.48715,-0.53687,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_c6bbf39022014f4abcf2060b43d61c82,scooter,47.47504,-0.58227,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2d50ae80872844d3ae3d3797815facc3,scooter,47.46768,-0.52506,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2a1a292d87044e389bbf1316af3fb662,scooter,47.46717,-0.54944,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4d22cef5091e479bb17b355e24223335,scooter,47.46468,-0.55729,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9a7d06cb357d4313b779e223bfbd3d68,scooter,47.48905,-0.54262,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_bfe9a19a328a494095b7fefd7a6b100d,scooter,47.46483,-0.54917,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_0c941b1123074d72afc86663a27934ff,scooter,47.4789,-0.56444,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2617d624c698403ab14c2f7f8c37537b,scooter,47.45101,-0.54885,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a41b229a118247d68a0fd25ae6ddbe4a,scooter,47.46987,-0.54767,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9a9ebec26ec24976896f282f769b175f,scooter,47.4893,-0.53419,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a5cf57458b344ef28749d3a7d2d9df23,scooter,47.47414,-0.55347,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_797cf590d4f0445c93f6147b3a6bb05a,scooter,47.48571,-0.62593,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_0c4ebcf419bb43d886ab2435e59ba1df,scooter,47.46495,-0.55683,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a453ca30c7e24518814541b5dca3930a,scooter,47.45711,-0.55386,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_3e18c99ae37d4d7d8a64036d55fbdefe,scooter,47.46417,-0.55956,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_43667fe0bca64bba96ac2b43743b074a,scooter,47.47101,-0.55185,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7b207dcd34124435870ad39283487096,scooter,47.48336,-0.56382,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
